kind	path (under app/src/main/java/com/forge/app/)	line	decl	name	test_refs	parked
zero	ui/overview/components/OverviewComponents.kt	88	fun	OverviewStat	0	False
zero	ui/overview/state/OverviewUiState.kt	128	val	hasActiveSession	0	False
zero	ui/profile/MirrorTestControls.kt	275	fun	daysBetween	0	False
zero	ui/profile/MirrorTestViewModel.kt	112	fun	addPhoto	0	False
zero	ui/profile/ProfileActivityYear.kt	123	fun	ProfileActivityYear	0	True
zero	ui/profile/ProfileBody.kt	82	fun	BodyMetricsSection	0	False
zero	ui/profile/ProfileCharts.kt	117	fun	ProgressRing	0	False
zero	ui/profile/ProfileExtras.kt	92	fun	GoalLinesSection	0	False
zero	ui/profile/ProfileLedger.kt	82	fun	AllTimeSection	0	False
zero	ui/profile/ProfileLedger.kt	115	fun	LifetimeVolumeGraph	0	False
zero	ui/profile/ProfileViewModel.kt	312	fun	setPhotoNote	0	False
zero	ui/profile/ProfileViewModel.kt	325	fun	addPhoto	0	False
zero	ui/profile/ProfileYearHeatmap.kt	47	fun	YearConsistencySection	0	False
zero	ui/settings/SettingsPrimitives.kt	424	fun	TileOrderRow	0	False
zero	ui/settings/SettingsViewModel.kt	420	fun	loadSampleData	0	False
zero	ui/theme/Color.kt	29	val	IndigoGradTop	0	False
zero	ui/theme/Color.kt	30	val	IndigoGradBottom	0	False
zero	ui/theme/Color.kt	57	val	AccentEmber	0	False
zero	ui/theme/Color.kt	58	val	AccentNavy	0	False
zero	ui/theme/Color.kt	59	val	AccentOlive	0	False
zero	ui/theme/Color.kt	60	val	AccentGold	0	False
zero	ui/theme/ForgeTheme.kt	63	fun	indigoColorScheme	0	True
